feature,mean,std,min,max,median,category
trading_value,98164466294.5718,446376926369.87134,0.0,19872524329000.0,23812822500.0,Volume
return_1d,0.0011967172379078646,0.03421323441187163,-0.29969879518072284,0.30012515644555693,0.0,Price
return_3d,0.0034584679635912864,0.05856909399951356,-0.5031712473572938,0.7822485207100591,0.0,Price
return_5d,0.005745101391138232,0.0755417952790915,-0.5346534653465347,0.8694968553459119,0.0,Price
return_20d,0.025001890273517614,0.15541696493938406,-0.7164997441333432,2.1684110371075165,0.0027008777852801646,Price
return_60d,0.07493621532281437,0.2962895971594673,-0.743307632331283,5.219512195121951,0.027227722772277252,Price
close_ma5_ratio,0.0014078010086914679,0.03629222707217012,-0.4161490683229814,0.43183114660581867,-0.0003235198964736119,Price
close_ma20_ratio,0.008159404130548286,0.08145229656667484,-0.5922487303773645,0.8461939067789255,0.0,Price
close_ma60_ratio,0.026185367653385822,0.14855044780194687,-0.651451403565869,1.9688081108613749,0.007161532340570709,Price
momentum_5d,0.005745101391138232,0.0755417952790915,-0.5346534653465347,0.8694968553459119,0.0,Momentum
momentum_20d,0.025001890273517614,0.15541696493938406,-0.7164997441333432,2.1684110371075165,0.0027008777852801646,Momentum
momentum_diff,-0.018936069825237163,0.13412980021927562,-1.9725222647761937,0.7436921514034163,-0.0017423638469693525,Momentum
momentum_accel,-6.018856860041444e-05,0.04875952161753482,-0.5985486891385767,0.49533659398138696,0.0,Momentum
relative_return_5d_vs_market,-1.949068688565786e-19,0.06849157470624849,-0.5404442536258082,0.8665762843166891,-0.006506452367567403,Price
relative_return_20d_vs_market,-3.981691126546841e-19,0.14260762728583992,-0.7110714304610245,2.085488619388443,-0.017334040286837542,Price
relative_return_20d_vs_sector,-3.981691126546841e-19,0.14260762728583992,-0.7110714304610245,2.085488619388443,-0.017334040286837542,Price
momentum_rank_pct,0.5049522982306216,0.2886624712202317,0.00980392156862745,1.0,0.504950495049505,Momentum
volume_change_1d,inf,,-1.0,inf,-0.034216022990117057,Volume
relative_trading_value,1.0383972389180331,0.8392671503426926,0.0,16.83702885097823,0.8392614226344712,Volume
trading_value_rank_pct,0.5049828976816857,0.28866283230082895,0.00980392156862745,1.0,0.504950495049505,Volume
volatility_5d,0.027858469982725217,0.02015055545286875,0.0,0.23737305683956886,0.022849820231557405,Volatility
volatility_20d,0.030187343035213858,0.015486764999276629,0.0,0.14628194604846748,0.027023392830314817,Volatility
intraday_range_5d,0.040065156007048804,0.020245807042237367,0.0,0.23785298902977825,0.03595656772603041,Volatility
atr_percent,0.04259326327597303,0.019161959093287093,0.0,0.23603912694296947,0.03938261351048233,Volatility
volatility_rank_pct,0.5049522982306216,0.2886629974803895,0.00980392156862745,1.0,0.504950495049505,Volatility
body,-0.000408094499004811,0.029753799354930097,-0.27373211963559413,0.32788798133021785,-0.0017667844522965077,Other
upper_shadow,0.010761975233454941,0.011960156003487604,0.0,0.25092592592569357,0.007705986959098535,Other
lower_shadow,0.009402355709100902,0.009727846465124831,0.0,0.18895348837208753,0.006930693069306245,Other
body_ratio,0.4562969629207916,0.26886770509248703,0.0,0.9999999999998667,0.4545454545247934,Other
close_position,0.46039805241255133,0.30230763523698573,0.0,0.9999999999999654,0.43999999999964795,Price
high_20d,146648.3434383,226225.65677754502,3100.0,2407000.0,75500.0,Other
low_20d,117526.11446078088,177176.88741801708,2550.0,1744017.0,60200.0,Other
close_to_20d_high,-0.09333610439202998,0.0719388492110849,-0.7179841466075194,0.0,-0.07796610169491525,Other
close_to_20d_low,0.11821139202156523,0.1325725032141169,0.0,2.3233532934131738,0.0797011207970113,Other
breakout_strength,0.47417102089942903,0.29746226934011366,0.0,0.9999999999999909,0.4651162790695511,Other
breakout_rank_pct,0.5049522264034806,0.2886573855067577,0.00980392156862745,1.0,0.504950495049505,Cross-sectional
rsi14,50.79325549101359,12.939157847304722,0.0,99.99999999995238,50.08950183015921,Technical
rsi_change_5d,-0.06285522132240506,9.924109655251582,-72.58715686997037,60.40647468234871,-0.22021299437322028,Technical
macd_hist_ratio,-9.686107922285331e-05,0.010435661209950962,-0.1643714519329339,0.07273376679269736,5.4045290134813227e-14,Technical
bb_position,0.509392481024861,0.3267381663430339,-0.5609556107104022,1.5271360608677667,0.499570511461619,Technical
bb_width,0.19916581217629145,0.13448068803627367,0.0,1.613217129372878,0.16511378818200045,Technical
bb_position_change_5d,-0.0022019847769103812,0.3347236215309425,-1.5576530309163537,1.5302968080307982,-0.006417418451656665,Technical
rsi_rank_pct,0.5049509676891393,0.2886344251784469,0.00980392156862745,1.0,0.504950495049505,Technical
macd_rank_pct,0.5049508996063796,0.28846234431927786,0.00980392156862745,1.0,0.504950495049505,Technical
bb_position_rank_pct,0.5049522264034806,0.2886629950087889,0.00980392156862745,1.0,0.504950495049505,Technical
atr_rank_pct,0.5049517997087176,0.2886629720738424,0.00980392156862745,1.0,0.504950495049505,Volatility
return_5d_rank_pct,0.5049512419250868,0.2886612658344525,0.00980392156862745,1.0,0.504950495049505,Price
return_20d_rank_pct,0.5049522982306216,0.2886624712202317,0.00980392156862745,1.0,0.504950495049505,Price
momentum_20d_rank_pct,0.5049522982306216,0.2886624712202317,0.00980392156862745,1.0,0.504950495049505,Momentum
momentum_diff_rank_pct,0.5049522982306216,0.28866235271694374,0.00980392156862745,1.0,0.504950495049505,Momentum
volume_change_rank_pct,0.5049831834717551,0.28866278077137947,0.00980392156862745,1.0,0.504950495049505,Volume
bb_width_rank_pct,0.5049522264034806,0.2886629950087889,0.00980392156862745,1.0,0.504950495049505,Technical
low_rebound_rank_pct,0.5049522264034806,0.28865731039112424,0.00980392156862745,1.0,0.504950495049505,Cross-sectional
relative_return_5d_rank_pct,0.5049512419250868,0.2886612658344525,0.00980392156862745,1.0,0.504950495049505,Price
sector_relative_rank_pct,0.5049522982306216,0.2886624712202317,0.00980392156862745,1.0,0.504950495049505,Momentum
nasdaq_return_1d,0.000982463192096886,0.012764712666754977,-0.05968060766968586,0.12163161348672213,0.001445774217207818,Price
sox_return_1d,0.0020491526520976687,0.023424273670476517,-0.10256950500275386,0.18734816328191917,0.001643173336035808,Price
sp500_return_1d,0.0007868575455709862,0.009526274135975005,-0.05974960534553109,0.09515387644904849,0.0009163899374069473,Price
vix_change_1d,0.0035378450798252965,0.0851012502941595,-0.35753873962348437,0.7403907396600702,-0.005025144893802347,Macro
usdkrw_return_1d,0.00026792491807377407,0.00631408081984359,-0.04203885240124494,0.021208126824620255,0.0006554816408383957,Price
wti_return_1d,0.0006480128521172572,0.025106357086586126,-0.1641433712886997,0.12208368261757263,0.00010957642817954749,Price
