feature,gap_model_importance,intraday_model_importance,ranking_model_importance,mean_importance
usdkrw_return_1d,498.0,583.0,552.0,544.3333333333334
sox_return_1d,492.0,388.0,494.0,458.0
nasdaq_return_1d,485.0,440.0,402.0,442.3333333333333
vix_change_1d,456.0,372.0,382.0,403.3333333333333
wti_return_1d,480.0,334.0,337.0,383.6666666666667
sp500_return_1d,473.0,268.0,405.0,382.0
atr_percent,205.0,121.0,152.0,159.33333333333334
intraday_range_5d,111.0,171.0,181.0,154.33333333333334
return_1d,153.0,124.0,125.0,134.0
trading_value,160.0,117.0,119.0,132.0
atr_rank_pct,100.0,124.0,130.0,118.0
volatility_20d,100.0,105.0,132.0,112.33333333333333
body,83.0,128.0,121.0,110.66666666666667
return_3d,96.0,112.0,121.0,109.66666666666667
volatility_rank_pct,96.0,117.0,106.0,106.33333333333333
macd_hist_ratio,118.0,94.0,102.0,104.66666666666667
return_60d,129.0,99.0,84.0,104.0
volatility_5d,112.0,89.0,106.0,102.33333333333333
lower_shadow,123.0,72.0,103.0,99.33333333333333
upper_shadow,79.0,125.0,92.0,98.66666666666667
momentum_accel,103.0,92.0,83.0,92.66666666666667
close_ma5_ratio,73.0,82.0,111.0,88.66666666666667
close_ma60_ratio,78.0,77.0,69.0,74.66666666666667
momentum_diff,51.0,88.0,58.0,65.66666666666667
return_5d,57.0,87.0,53.0,65.66666666666667
low_20d,67.0,65.0,58.0,63.333333333333336
high_20d,76.0,52.0,57.0,61.666666666666664
rsi_change_5d,49.0,63.0,72.0,61.333333333333336
return_20d_rank_pct,34.0,68.0,78.0,60.0
momentum_diff_rank_pct,30.0,81.0,61.0,57.333333333333336
trading_value_rank_pct,63.0,52.0,52.0,55.666666666666664
bb_position_change_5d,51.0,54.0,51.0,52.0
bb_position_rank_pct,46.0,50.0,60.0,52.0
macd_rank_pct,29.0,67.0,59.0,51.666666666666664
relative_trading_value,37.0,63.0,52.0,50.666666666666664
bb_width,40.0,43.0,61.0,48.0
close_position,49.0,49.0,44.0,47.333333333333336
close_to_20d_high,38.0,61.0,42.0,47.0
volume_change_1d,37.0,53.0,47.0,45.666666666666664
rsi_rank_pct,37.0,59.0,40.0,45.333333333333336
close_to_20d_low,31.0,57.0,44.0,44.0
bb_width_rank_pct,29.0,60.0,42.0,43.666666666666664
low_rebound_rank_pct,31.0,55.0,44.0,43.333333333333336
rsi14,36.0,53.0,39.0,42.666666666666664
return_20d,28.0,56.0,40.0,41.333333333333336
relative_return_5d_vs_market,46.0,36.0,40.0,40.666666666666664
breakout_rank_pct,26.0,54.0,41.0,40.333333333333336
relative_return_20d_vs_market,25.0,49.0,41.0,38.333333333333336
close_ma20_ratio,36.0,41.0,35.0,37.333333333333336
body_ratio,20.0,49.0,40.0,36.333333333333336
volume_change_rank_pct,25.0,55.0,29.0,36.333333333333336
return_5d_rank_pct,22.0,47.0,37.0,35.333333333333336
breakout_strength,31.0,40.0,31.0,34.0
bb_position,14.0,49.0,31.0,31.333333333333332
relative_return_20d_vs_sector,6.0,10.0,12.0,9.333333333333334
